Pays,Entrée,Continent,Restaurants,Remarques
Chine,1987,Asie,7980,
États-Unis,1930,Amérique,4062,
Japon,1970,Asie,1131,
Afrique du Sud,1971,Afrique,955,Premier pays africain à accueillir un restaurant KFC.
Royaume-Uni,1965,Europe,909,Premier pays européen à accueillir un restaurant KFC.
Malaisie,2004,Asie,718,Fut présent de 1973 à 1992.La viande servie est halal.
Thaïlande,1984,Asie,717,Fut présent de 1970 à 1975.
Indonésie,1979,Asie,689,La viande servie est halal.
Australie,1968,Océanie,653,Premier pays océanien à accueillir un restaurant KFC.
Canada,1953,Amérique,639,
Inde,1995,Asie,395,
Mexique,1965,Amérique,393,
Philippines,1967,Asie,332,Premier pays asiatique à accueillir un restaurant KFC.
Pologne,1992,Europe,315,
France,1991,Europe,386,
Arabie saoudite,1975,Asie,220,La viande servie est halal.
Corée du Sud,1984,Asie,190,
Allemagne,1968,Europe,189,
Égypte,1973,Afrique,164,La viande servie est halal.
Taïwan,1985,Asie,153,
Emirats-Arabes,1975,Asie,151,La viande servie est halal.
Espagne,1970,Europe,143,
Turquie,1989,Europe,142,La viande servie est halal.
Viêt Nam,1997,Asie,136,
Tchéquie,1995,Europe,114,
Italie,2014,Europe,105,
Nouvelle-Zélande,1971,Océanie,100,
Roumanie,1997,Europe,94,
Pakistan,1997,Asie,92,Fut présent de 1960 à 1970.La viande servie est halal.
Singapour,1977,Asie,86,
Hongrie,1992,Europe,80,
Pays-Bas,1972,Europe,77,
Kazakhstan,2008,Asie,66,
Koweït,1973,Asie,66,La viande servie est halal.
Ukraine,2012,Europe,48,
Irlande,1971,Europe,40,
Qatar,1976,Asie,39,La viande servie est halal.
SriLanka,1995,Asie,39,
Oman,1977,Asie,36,La viande servie est halal.
Portugal,1994,Europe,34,
Birmanie,2015,Asie,33,
Bulgarie,1994,Europe,28,
Jordanie,1973,Asie,27,La viande servie est halal.
Bangladesh,2006,Asie,26,La viande servie est halal.
Chypre,2013,Europe,25,
Bahreïn,1973,Asie,24,
Nigeria,2009,Afrique,24,
Liban,1973,Asie,23,
Kenya,2011,Afrique,23,
Maurice,1983,Afrique,22,
Namibie,1992,Afrique,21,
Ghana,2011,Afrique,19,
Biélorussie,2015,Europe,19,
Maroc,2001,Afrique,45,La viande servie est halal.
Brunei,1992,Asie,17,
Botswana,1992,Afrique,16,
Belgique,2019,Europe,15,
Serbie,2007,Europe,13,
Kosovo,2016,Europe,13,
Ouzbékistan,2018,Asie,13,
Grèce,1992,Europe,12,
Mozambique,2007,Afrique,12,
Népal,2009,Asie,12,
Mongolie,2013,Asie,12,
Ouganda,2013,Afrique,12,
Suède,2014,Europe,12,Fut présent en 1981.
Israël,2020,Asie,12,Fut présent de 1993 à 2014 .La viande servie est casher.
Tunisie,2018,Afrique,11,La viande servie est halal.
Autriche,2005,Europe,11,Fut présent de 1970 à 1975.
Arménie,2007,Asie,11,
Cambodge,2008,Asie,11,
Azerbaïdjan,2011,Asie,11,
Suisse,2017,Europe,11,Fut présent de 1980 à 2004.
Danemark,1992,Europe,10,Fut présent de 1970 à 1991.
Eswatini,1993,Afrique,10,
Angola,2012,Afrique,9,
Islande,1980,Europe,8,
Croatie,2011,Europe,8,
Lesotho,2012,Afrique,8,
Irak,2015,Asie,8,
Albanie,2016,Europe,8,
Soudan,2019,Afrique,8,
Slovaquie,2006,Europe,7,
Estonie,2019,Europe,7,
Lituanie,2007,Europe,6,
Zimbabwe,2013,Afrique,6,Fut présent de 1991 à 2008.
Tanzanie,2013,Afrique,6,
Côte d'Ivoire,2018,Afrique,6,
Finlande,2021,Europe,6,
Géorgie,2010,Europe,5,
Lettonie,2014,Europe,5,
Macédoine,2018,Europe,5,
Zambie,2011,Afrique,4,
Kirghizistan,2017,Asie,4,
Gabon,2019,Afrique,4,
Malte,1997,Europe,3,
Sénégal,2019,Afrique,3,
Moldavie,2008,Europe,2,
Malawi,2012,Afrique,2,
Maldives,2018,Asie,2,
Madagascar,2019,Afrique,2,
Yémen,2002,Asie,1,La viande servie est halal.
Slovénie,2018,Europe,1,
Luxembourg,2019,Europe,1,
Rwanda,2020,Afrique,1,
Tadjikistan,2021,Asie,1,
Algérie,2024,Afrique,2,La viande servie est halal.
